[WARN] 2023-02-15 18:40:51.782387+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\3c
[WARN] 2023-02-15 18:40:51.782387+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\3c\2b6d34054b3ff3819bdde2851a699cbe25f479
[WARN] 2023-02-15 18:40:51.783387+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\3e
[WARN] 2023-02-15 18:40:51.783387+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\3e\907d75ad02ad8605fb57dccf257f5cf19d46e6
[WARN] 2023-02-15 18:40:51.783387+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\4e
[WARN] 2023-02-15 18:40:51.783387+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\4e\488ad499b922b5849e0aec8a1fb77cb7b19082
[WARN] 2023-02-15 18:40:51.784387+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\72
[WARN] 2023-02-15 18:40:51.784387+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\72\6a6f17feb6f09dee50efa5f697b3f1bb05fd59
[WARN] 2023-02-15 18:40:51.784387+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\7c
[WARN] 2023-02-15 18:40:51.785388+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\7c\dd9ea30666ceda42c24bcc100d1679848b00bc
[WARN] 2023-02-15 18:40:51.785388+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\8a
[WARN] 2023-02-15 18:40:51.785388+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\8a\c4b0f66bcd98de5e82b8c9e585403461ffbd05
[WARN] 2023-02-15 18:40:51.785388+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\8d
[WARN] 2023-02-15 18:40:51.786388+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\8d\dbdf835b308bf73e436d8324dc32031c729415
[WARN] 2023-02-15 18:40:51.786388+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\8f
[WARN] 2023-02-15 18:40:51.786388+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\8f\dedf633b4b60443871fe7765ce581f3a02f245
[WARN] 2023-02-15 18:40:51.787388+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\a7
[WARN] 2023-02-15 18:40:51.787388+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\a7\aa2070d0afdbff842e859595a6ef204381728b
[WARN] 2023-02-15 18:40:51.787388+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\a9
[WARN] 2023-02-15 18:40:51.787388+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\a9\1473f0c63f66b3ffe43e244efde2bedbb32d89
[WARN] 2023-02-15 18:40:51.788388+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\ae
[WARN] 2023-02-15 18:40:51.788388+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\ae\10ea4776ccf92be0847d7d04643ef7155bc904
[WARN] 2023-02-15 18:40:51.788388+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\af
[WARN] 2023-02-15 18:40:51.788388+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\af\955a0bd956b8e0ae6564df131c678f5800efca
[WARN] 2023-02-15 18:40:51.789389+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\bb
[WARN] 2023-02-15 18:40:51.789389+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\bb\02c9eafce7b54de8b4c51bae63782afe45249c
[WARN] 2023-02-15 18:40:51.789389+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\c7
[WARN] 2023-02-15 18:40:51.790389+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\c7\cc04331390df6f974f6bcc07b94554429c7c70
[WARN] 2023-02-15 18:40:51.790389+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\d3
[WARN] 2023-02-15 18:40:51.790389+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\d3\d2596385b355f21beb7fcdece3797f67b776ca
[WARN] 2023-02-15 18:40:51.790389+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\db
[WARN] 2023-02-15 18:40:51.791389+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\db\2efec8b9de361dc40e66c118b0b7a2400e2b29
[WARN] 2023-02-15 18:40:51.791389+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\e6
[WARN] 2023-02-15 18:40:51.791389+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\e6\9de29bb2d1d6434b8b29ae775ad8c2e48c5391
[WARN] 2023-02-15 18:40:51.792389+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\ed
[WARN] 2023-02-15 18:40:51.792389+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\ed\5e336d698112436262eb38da1a272186055f34
[WARN] 2023-02-15 18:40:51.792389+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\f1
[WARN] 2023-02-15 18:40:51.792389+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\f1\c31861a96e2ff99aedb4c5541be3d0aeadfd77
[WARN] 2023-02-15 18:40:51.793389+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\f4
[WARN] 2023-02-15 18:40:51.793389+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\f4\41ecd73aca5255f93a93a2cf826ccd0e158de7
[WARN] 2023-02-15 18:40:51.793389+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\f6
[WARN] 2023-02-15 18:40:51.793389+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\f6\aa170b06daf7842eb31e3b71ffcf3d7df54da1
[WARN] 2023-02-15 18:40:51.794390+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\info
[WARN] 2023-02-15 18:40:51.794390+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\objects\pack
[WARN] 2023-02-15 18:40:51.794390+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\refs
[WARN] 2023-02-15 18:40:51.795390+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\refs\heads
[WARN] 2023-02-15 18:40:51.795390+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\refs\heads\Main
[WARN] 2023-02-15 18:40:51.795390+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.git\refs\tags
[WARN] 2023-02-15 18:40:51.795390+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\.gitignore
[WARN] 2023-02-15 18:40:51.796390+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\cogs
[WARN] 2023-02-15 18:40:51.796390+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\cogs\automatic
[WARN] 2023-02-15 18:40:51.796390+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\cogs\automatic\fileListener.py
[WARN] 2023-02-15 18:40:51.797390+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\cogs\automatic\_base.py
[WARN] 2023-02-15 18:40:51.797390+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\cogs\automatic\__init__.py
[WARN] 2023-02-15 18:40:51.797390+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\cogs\automatic\__pycache__
